id,birth_year,death_year,name
13082,1868,1945,"Nicholson, Reynold Alleyne"
13083,1838,1902,"Negri, Gaetano"
13084,1879,1946,"Heymann, Robert"
13085,1768,1832,"Voss, Julius von"
13086,,,"Graeme, Elliott"
13087,1813,1868,"Dadd, George H."
13088,1842,1904,"Macy, Arthur"
13089,1874,1920,"Elwell, J. B. (Joseph Bowne)"
13090,,,"Selander, Robert K."
13091,,,"Raun, Gerald G."
13092,,,"Wilks, B. J."
13093,1861,1946,"Gallichan, Walter M. (Walter Matthew)"
13094,1783,1821,"Jewitt, John Rodgers"
13095,1852,1929,"Lucas, Frederic A. (Frederic Augustus)"
13096,1871,1938,"Garner, James Wilford"
13097,1494,1555,"Agricola, Georg"
13098,1518,,Kṛṣṇadāsa Kavirāja Gosvāmi
13099,,,"Rice, Alfred Ernest"
13100,1800,1891,"Rice, Harvey"
13101,1842,1916,"Kellogg, Clara Louise"
13102,1869,1943,"Waugh, F. A. (Frank Albert)"
13103,1853,1930,"Bull, Jacob B. (Jacob Breda)"
13104,1844,1919,"Tolstaia, S. A. (Sofia Andreevna)"
13105,1859,1935,"Dreyfus, Alfred"
13106,1844,,"Payne, Harry Thom"
13107,,,"Wilson, Eric B."
13108,1835,1921,"Nassau, Robert Hamill"
13109,1855,1928,"Siringo, Charles A."
13110,1834,1916,"White, Horace"
13111,1840,1911,"Whymper, Edward"
13112,1883,,"Buhlig, Rose"
13113,,,"Gash, Thomas C."
13114,1886,1959,"Work, Paul"
13115,1775,1857,"Vidocq, Eugène François"
13116,1857,1940,"Lloyd, J. Wm. (John William)"
13117,,,Comalk-Hawk-Kih
13118,1863,,"Hawksworth, Hallam"
13119,1887,,"Stroebe, Klara"
13120,1863,1943,"McAdie, Alexander"
13121,1881,1972,"Chinard, Gilbert"
13122,1849,1918,"Dupuy, Ernest"
13123,1811,1874,"Johns, C. A. (Charles Alexander)"
13124,1836,1876,"Bacon, George B. (George Blagden)"
13125,,,"Sawyer, Frederic H."
13126,1858,1934,"Quesada, Ernesto"
13127,,,Chicago (Ill.). Municipal Tuberculosis Sanitarium. Dispensary Department
13128,1820,1876,"Inman, Thomas"
13129,1693,1769,"Annet, Peter"
13130,,,"Krueger, William G."
13131,,,"Leonard, Arthur Glyn"
13132,1799,1890,"Döllinger, Johann Joseph Ignaz von"
13133,,,"Broomhall, Edith J."
13134,1621,1698,"Ulfeldt, Leonora Christina, grevinde"
13135,,,"Boettiger, Louis A. (Louis Angelo)"
13136,1873,1946,"Williams, Harrison"
13137,,,"Taft, William Nelson"
13138,1854,,"Hubbard, Henry Seward"
13139,1873,1956,"Cousins, James Henry"
13140,1841,1921,"Wilson, A. J. (Alexander Johnstone)"
13141,1863,1939,"Panzini, Alfredo"
13142,1883,,"Howard, Delton Thomas"
13143,1872,1949,"Atwood, Wallace Walter"
13144,1858,1922,"Salisbury, Rollin D."
13145,1871,1946,"Wagnalls, Mabel"
13146,,,"Jungman, Beatrix"
13147,1883,,"Sieveking, Hermann"
13148,1847,1935,"Liebermann, Max"
13149,1875,,"Sketchley, R. E. D. (Rose Esther Dorothea)"
13150,1783,1852,"Gourgaud, Gaspard, Baron"
13151,1839,1917,"Macon, T. J. (Thomas Joseph)"
13152,,,"Stone, Amy Wentworth"
13153,,,"Butler, Katharine"
13154,1877,1963,"Doty, Madeleine Z. (Madeleine Zabriskie)"
13155,1874,1956,"Humphrey, Zephine"
13156,,,"Louriet, F. J."
13157,1878,1955,"Montague, Margaret Prescott"
13158,,,"Taylor, Arthur Russell"
13159,,,"Ashe, Elizabeth"
13160,1875,1959,"Dwight, H. G. (Harrison Griswold)"
13161,,,"Starr, Ernest"
13162,1879,1944,"Gerould, Katharine Fullerton"
13163,,,"Lerner, Mary"
13164,,,"Mercer, C. A."
13165,,,"Lynn, Margaret"
13166,,,"Vidyāpati Thākura, active 15th century"
13167,1762,1816,"Willyams, Cooper"
13168,1870,1959,"Corbin, John"
13169,1796,1873,"Baucher, François"
13170,1800,1850,"Knowlton, Charles"
13171,1885,1947,"Pagé, Victor Wilfred"
13172,1816,1873,"Blacklock, Ambrose"
13173,,,"Robertson, A. Fraser"
13174,1754,1821,"Garnier, M. (Germain)"
13175,,1939,"Penny, F. E. (Fanny Emily)"
13176,1851,1929,"Chapman, Abel"
13177,,,"Buck, Walter John"
13178,,,"Betts, Lillian William"
13179,1811,1886,"Duncker, Max"
13180,1821,1897,"Banks, G. Linnaeus (George Linnaeus), Mrs."
13181,1876,,"Fryer, Jane Eayre"
13182,1836,1920,"Scharling, C. Henrik (Carl Henrik)"
13183,1853,1909,"Edwards, F. G. (Frederick George)"
13184,1803,1866,"Gozlan, Léon"
13185,,,United States. Congress. House. Committee on Patents
13186,1792,1839,"Fisk, Wilbur"
13187,1884,,"Cox, George James"
13188,1876,1923,"Ingleby, Leonard Cresswell"
13189,,,"Stawell, Rodolph, Mrs."
13190,,,"Sarlin, A. J."
13191,1859,1930,"Pepper, Charles M. (Charles Melville)"
13192,1829,1904,"Train, George Francis"
13193,1706,1744,"Miller, James"
13194,1856,1935,"Whittaker, Thomas"
13195,1860,1946,"Maxwell, George Hebard"
13196,1928,,"Packard, Robert L. (Robert Lewis)"
13197,,,"Haynes, Henrietta"
13198,,,Howard & Bullough American Machine Company
13199,,,"Pringle, Allen"
13200,1938,,"Burkett, Ray D."
13201,,,"Wilson, Wilfred"
13202,,1218,"Petrus, Sarnensis"
13203,1852,,"Cuyer, Édouard"
13204,1826,1916,"Macray, William Dunn"
13205,,,"Chesson, W. H. (Wilfrid Hugh)"
13206,,,"Wilkins, Louisa Jebb"
13207,1869,1949,"Fraser, Wilber J. (Wilber John)"
13208,673,735,"Bede, the Venerable, Saint"
13209,,,"Joyce, Herbert"
13210,,1897,"Weylland, John Matthias"
13211,1858,1934,"Wuori, Martti"
13212,,,"Aelfric, Abbot of Eynsham"
13213,1880,,"Honey, James A."
13214,1876,,"Kleinlein, Walter J. (Walter John)"
13215,1873,,"Lyman, Olin L. (Olin Linus)"
13216,1616,1704,"L'Estrange, Roger, Sir"
13217,1856,1926,"Kokko, Juhana"
13218,1854,1921,"Slater, J. Herbert (John Herbert)"
13219,1862,1933,"Wells, Amos R. (Amos Russel)"
13220,,,"Weir, James, active 1883-1912"
13221,1831,,"Bailey, Washington"
13222,1756,1823,"Llorente, Juan Antonio"
13223,,,"Quadrupani, Carlo Giuseppe"
13224,1878,,"Johnson, Stanley C. (Stanley Currie)"
13225,1772,1829,"Schlegel, Friedrich von"
13226,1791,1873,"Knight, Charles"
13227,,,"Campbell, Theophila Carlile"
13228,1870,1941,"Morton, James F. (James Ferdinand)"
13229,1790,1843,"Carlile, Richard"
13230,1836,1908,"Holland, Frederic May"
13231,1848,1919,"Remsburg, John E. (John Eleazer)"
13232,,,"Mitchell, Logan"
13233,,,"Reber, George"
13234,,,"Lisle, Lionel"
13235,1865,1943,"Shaw, William Arthur"
13236,1833,1928,"Hawkins, N. (Nehemiah)"
13237,1867,,"Bailey, Arthur Low"
13238,1812,1877,"Soule, Richard"
13239,1862,1935,"Cunningham, Francis A. (Francis Aloysius)"
13240,1792,1881,"Trelawny, Edward John"
13241,1745,1792,"Hearne, Samuel"
13242,,1707,"Tutchin, John"
13243,1816,1874,"Bourne, Benjamin Franklin"
13244,1893,1961,"Smith, Clark Ashton"
13245,1861,1939,"Field, Walter Taylor"
13246,1845,1918,"Young, Ella Flagg"
13247,1788,1873,"Trikoupes, Spyridon"
13248,1866,,"Mathot, Rodolphe Edgard"
13249,1805,1892,"Wheildon, William W. (William Willder)"
13250,1821,1904,"Longstreet, James"
13251,,,"Olund, Leonard J."
13252,1854,1947,"Beekman, A. A. (Anton Albert)"
13253,1835,,"Treat, Mary"
13254,1863,1928,"Sargent, Frederick Leroy"
13255,,,"Wells, Samuel"
13256,1861,1939,"Thomson, Basil"
13257,1867,1945,"Jackson, S. Trevena"
13258,1877,1959,"Kauffman, Reginald Wright"
13259,,,"Yates, L. K."
13260,,,"Somerville, H. G."
13261,1719,1788,"Sheridan, Thomas"
13262,1839,1901,"Sabatier, Auguste"
13263,,,"O'Neil, Owen Rowe"
13264,1820,1898,"Schele de Vere, M. (Maximilian)"
13265,,,"Gordon, Harry"
13266,1873,1951,"Conway, G. R. G. (George Robert Graham)"
13267,1821,1903,"Scherzer, Karl, Ritter von"
13268,1847,1924,"Alden, John B. (John Berry)"
13269,1855,1925,"Niewiadomska, Cecylia"
13270,1890,1941,"Reményik, Sándor"
13271,,,"Rankin, James"
13272,1752,1832,"Freneau, Philip Morin"
13273,1877,1919,"Ady, Endre"
13274,1857,1930,"Weik, Jesse William"
13275,1818,1891,"Herndon, William Henry"
13276,,,"Newton, John, M.R.C.S.E."
13277,1877,1932,"Macy, John Albert"
13278,1826,1894,"Day, Lal Behari"
13279,1692,1775,"Pöllnitz, Karl Ludwig, Freiherr von"
13280,1841,1898,"Edmonds, S. Emma E. (Sarah Emma Evelyn)"
13281,1865,1931,"Bailey, Henry Turner"
13282,1891,1977,"Goll, Claire"
13283,1876,1954,"Hardekopf, Ferdinand"
13284,1863,1948,"Vay, Péter"
13285,1778,1818,"Brunton, Mary"
13286,,,"D'Auvergne, Edmund B. (Edmund Basil)"
13287,,1627,"Hayward, John, Sir"
13288,1861,1918,"Nansen, Peter"
13289,1873,1924,"Bryusov, Valery Yakovlevich"
13290,1757,1806,"Cavendish, Georgiana Spencer, Duchess of Devonshire"
13291,1849,1945,"Fleming, J. A. (John Ambrose), Sir"
13292,,,"Tremayne, Eleanor E."
13293,1828,1906,"Edwards, H. Sutherland (Henry Sutherland)"
13294,,,"Rivenburg, Romeyn Henry"
13295,1846,1913,"Cumberland, Barlow"
13296,1847,1924,"Just, Gustav A."
13297,1785,1863,"Cunningham, Francis"
13298,,,"Westra, Willem"
13299,,1649,"Crashaw, Richard"
13300,1829,1892,"Streight, Abel D."
13301,,,"Ross, Mary, Lady"
13302,1874,,"Gordon, Lina Duff"
13303,1837,1907,"Merényi, László"
13304,,,"Isle, June"
13305,1873,,"Moore, Bernard"
13306,1849,1945,"Jersey, Margaret Elizabeth Leigh Child-Villiers, Countess of"
13307,1862,1942,"Kiser, Samuel E. (Samuel Ellsworth)"
13308,1860,,"Moberly, L. G. (Lucy Gertrude)"
13309,,606,Sengcan
13310,1860,1933,"Dumur, Louis"
13311,1850,1914,"Beardslee, Clark S. (Clark Smith)"
13312,1850,1932,"Garnett, William"
13313,1822,1878,"Wollaston, Thomas Vernon"
13314,1858,1936,"Sims, William Sowden"
13315,1786,1867,"Sargent, Lucius M. (Lucius Manlius)"
13316,1824,1897,"Maitland, Edward"
13317,1741,1825,"Fuseli, Henry"
13318,,1866,"Addison, C. G. (Charles Greenstreet)"
13319,1880,1967,"MacDonald, Wilson"
13320,1813,1883,"Graves, Kersey"
13321,,,"Bresse, J."
13322,1851,1918,"Voss, Richard"
13323,1866,,"De Castro, Adolphe Danziger"
13324,1853,1931,"Willcock, John"
13325,1814,1868,"Erdélyi, János"
13326,,,"Piper, Hugh"
13327,1810,1889,"Gray, W. H. (William Henry)"
13328,1782,1866,"Taylor, Ann"
13329,1783,1824,"Taylor, Jane"
13330,,,"Treat, Nola"
13331,,,"Richards, Lenore"
13332,1838,1912,"Fouillée, Alfred"
13333,1799,1889,"Mahan, Asa"
13334,,,"Baron, David"
13335,,,"Montgomery Real Estate Agents' Association, Montgomery, Ala."
13336,1875,1955,"Archibald, Raymond Clare"
13337,1826,1864,"Woepcke, Franz"
13338,,,"Fibonacci, Leonardo"
13339,1859,1929,"Benedek, Elek"
13340,1801,1843,"Clark, John A. (John Alonzo)"
13341,1891,1975,"Storm, Marian"
13342,1854,1948,"Elliott, Maud Howe"
13343,1845,1922,"Hall, Florence Howe"
13344,1842,1899,"Palmer, Edward"
13345,,,"Allbut, Robert"
13346,1876,,"Bender, Millicent Schwab"
13347,,,"Campbell, Mark, active 19th century"
13348,1772,1843,"Deplace, Guy-Marie"
13349,1807,1874,"Miller, Thomas"
13350,1809,1891,"Akins, Thomas B."
13351,1895,,"Rogers, Margaret Cobb"
13352,,,"Gill, Anna A."
13353,,,"Cotes, Everard"
13354,1892,1964,"Sato, Haruo"
13355,1864,1917,Jolanda
13356,1902,1974,"Heyer, Georgette"
13357,,,"Dessauer, Ernst"
13358,,,"Patrick, Saint"
13359,,,"Skiles, May Evelyn"
13360,1819,1909,"Bowditch, William I. (William Ingersoll)"
13361,1873,1949,"Vine, W.E. (William Edwy)"
13362,1757,1834,"Douce, Francis"
13363,1886,,"Quigley, Margery Closey"
13364,1855,,"Richards, R. C. (Ralph Coffin)"
13365,1771,1814,"Reynier, Jean-Louis-Ebenézer"
13366,1753,1815,"Berthier, Louis-Alexandre"
13367,1916,,"Campbell, J. Duncan, (James Duncan)"
13368,1896,1977,"Hobbs, Leonard S."
13369,,,"Casseday, Ben"
13370,1876,1952,"Rosenbach, A. S. W. (Abraham Simon Wolf)"
13371,,,"Firebaugh, Ellen M."
13372,1858,1934,"Galbreath, C. B. (Charles Burleigh)"
13373,1740,1814,"Mercier, Louis-Sébastien"
13374,1869,1943,"Chamberlain, James Franklin"
13375,1791,1859,"Aksakov, S. T. (Sergei Timofeevich)"
13376,1852,1925,"Hubert, Philip Gengembre"
13377,1782,1867,"Wied, Maximilian, Prinz von"
13378,1789,1872,"Keightley, Thomas"
13379,,,"Lanaghan, Mrs."
13380,1861,1953,"Kirkpatrick, F. A. (Frederick Alexander)"
13381,1868,,"Miller, George A. (George Amos)"
13382,1840,1930,"Smith, Mary P. Wells (Mary Prudence Wells)"
13383,1809,1877,"Turnbull, Robert"
13384,,,"Clayton, H. J."
13385,1838,1891,"Sedding, John Dando"
13386,,,"Henderson, Robert, active 1866-1874"
13387,,,United States. Commission to the Madrid Exposition (1892- )
13388,,,"Exposición Histórico-Americana (1892 : Madrid, Spain)"
13389,1724,1794,"Hely-Hutchinson, John"
13390,1867,,"Platt, William"
13391,,,"Platt, William, Mrs."
13392,,,"Awdelay, John, active 1559-1577"
13393,,,"Harman, Thomas, active 1567"
13394,1844,1898,"Arany, László"
13395,1842,1891,"Wingfield, Lewis"
13396,1828,1911,"Aughey, John H. (John Hill)"
13397,,,"Robbins, Edward Mott"
13398,1879,1929,"Edwards, Albert"
13399,,,"Werge, John, active 1854-1890"
13400,1854,1925,"Vinogradoff, Paul"
13401,1809,1877,"Sharpe, Edmund"
13402,1875,,"Sheets, Emily Churchill Thompson"
13403,1924,1990,"Murphy, Robert F. (Robert Francis)"
13404,,,"Murphy, Yolanda"
13405,,,Argentina
13406,,,Paraguay
13407,,,"Parsons, Mary Elizabeth"
13408,1847,1915,"Wolfe, Theodore F. (Theodore Frelinghuysen)"
13409,1857,1949,"Munthe, Axel"
13410,,,"Murphy, John"
13411,1757,1823,"Kemble, John Philip"
13412,1869,,"Hoskin, Arthur J. (Arthur Joseph)"
13413,1810,1882,"McCandless, Wilson"
13414,1776,1854,"Maguire, Thomas"
13415,,,"Grolleau, Charles"
13416,1878,1962,"Bithell, Jethro"
13417,,,"Lohr, F."
13418,1875,1948,"Hungerford, Edward"
13419,1808,1865,"Harms, Louis"
13420,1879,1944,"Campbell, Joseph"
13421,1843,1909,"M'Pherson, J. G. (John Gordon)"
13422,1838,1911,"Würtenberger, Karl Friedrich"
13423,1893,1974,"Walker, Charles R. (Charles Rumford)"
13424,1746,1800,"L'Héritier de Brutelle, Charles Louis"
13425,1857,1909,"Vincent, James Edmund"
13426,1847,1918,"Marvin, Frederic Rowland"
13427,1809,1897,"Twiss, Travers"
13428,1836,1925,"Allbutt, T. Clifford (Thomas Clifford)"
13429,1868,1938,"Larson, Laurence Marcellus"
13430,,,Trow’s Printing and Bookbinding Company
13431,,,"Downs, E. C. (Edward C.)"
13432,1830,1862,"Sheppard, Elizabeth Sara"
13433,1842,1928,"Macdonald, Frederic W. (Frederic William)"
13434,1813,1876,"Lower, Mark Antony"
13435,1820,1902,"Pollen, John Hungerford"
13436,1823,1886,"Barff, Frederick Settle"
13437,1816,1902,"Arnoux, Léon"
13438,1829,1913,"Sclater, Philip Lutley"
13439,,,"Douglas, Charles L."
13440,1805,1865,"Fitzroy, Robert"
13441,1886,1939,"Hollingworth, Leta Stetter"
13442,1880,1956,"Hollingworth, Harry L. (Harry Levi)"
13443,1861,1940,"St. Paul, Mother"
13444,,,Association of the Miraculous Medal
13445,,,"Goldenberg, Samuel L."
13446,1740,1802,"Arnould, Sophie"
13447,,,"Loopuit, Jos."
13448,1850,1907,"De Morgan, Mary"
13449,1852,1923,"Heldring, Louis"
13450,1843,1920,"Abney, William de Wiveleslie, Sir"
13451,1861,1941,"Hensel, Kurt"
13452,1849,1919,"Dahl, Jonas Anton"
13453,,,"Stigand, Nancy Yulee (Neff)"
13454,1877,1919,"Stigand, C. H. (Chauncy Hugh)"
13455,,,"Mears, James R."
13456,1848,1931,"Normand, Jacques"
13457,1854,1923,"Nion, François de"
13458,,,"Laut, Ernest"
13459,1851,,Montjoyeux
13460,,,"Forge, Henry de"
13461,,,"Rébrac, Jean du"
13462,1843,1896,"Arène, Paul"
13463,1844,1924,"Escott, T. H. S. (Thomas Hay Sweet)"
13464,1829,1912,"Jones, John P. (John Percival)"
13465,1909,2000,"Ramamohan Rao, Mahidhara"
13466,1814,1890,"Conkling, Margaret C. (Margaret Cockburn)"
13467,1872,1901,"Kampyses, Giannes"
13468,1545,1618,"González de Mendoza, Juan"
13469,1760,1818,"Martínez de Zúñiga, Joaquín"
13470,1854,1906,"Ward, H. Marshall (Harry Marshall)"
13471,1813,1888,"Mudge, Zachariah Atwell"
13472,,1866,"Sellon, Edward"
13473,1889,1973,"Lobingier, Elizabeth Miller"
13474,1871,1919,"Liebknecht, Karl Paul August Friedrich"
13475,1866,1933,"Hibbert, Francis Aiden"
13476,1865,1933,"Bacon, Albion Fellows"
13477,1857,1937,"Low, David Allan"
13478,1860,1943,"Damsté, Pieter Helbert"
13479,,,"Rijcken, Frans Eduard Pels"
13480,1858,1932,"O'Malley, Austin"
13481,1802,1869,"Philpot, J. C. (Joseph Charles)"
13482,1736,1794,"Linguet, Simon Nicolas Henri"
13483,,,"Bottone, Selimo Romeo"
13484,1683,1756,"Alvarez de Abreu, Antonio"
13485,1569,1636,"Aduarte, Diego"
13486,1792,1849,"Hetherington, H. (Henry)"
13487,1872,,"Aitken, Robert"
13488,1782,1862,"Millingen, J. G. (John Gideon)"
13489,,,"Brown, Margaret Wright"
13490,1884,1954,"Odum, Howard Washington"
13491,,,"Phlores, Kostas"
13492,1866,1924,"Alves dos Santos, Augusto Joaquim"
13493,1797,1879,"Panizzi, Anthony, Sir"
13494,1843,1942,"Jackson, William Henry"
13495,1795,1864,"Schindler, Anton"
13496,,,"Cloud, D. C."
13497,1859,1938,"Norway, Arthur H. (Arthur Hamilton)"
13498,1805,1887,"Stanton, Henry B. (Henry Brewster)"
13499,1850,1936,"Spears, John Randolph"
13500,1833,1903,"Farjeon, B. L. (Benjamin Leopold)"
13501,1812,1894,"Hoare, Edward"
13502,1797,1877,"Cobbold, Richard"
13503,1819,1908,"Burr, William Henry"
13504,,,"Anderson, Marilyn D."
13505,1809,1888,"Young, William"
13506,,,"Lonergan, F."
13507,1906,1961,"Gabel, Norman E."
13508,1850,1926,"Straus, Oscar S. (Oscar Solomon)"
13509,1796,1866,"Siebold, Philipp Franz von"
13510,,,"Coen, Cornelis Janszoon"
13511,,,"Vries, Maarten Gerritszoon"
13512,1883,1959,"Hiden, Martha W. (Martha Woodroof)"
13513,,,"Crain, Dorothy"
13514,1810,1881,"Williams, Robert"
13515,,,"Williams, Cora May"
13516,1845,1913,"Gausseron, Bernard Henri"
13517,1858,1939,"Hamilton, Ernest, Lord"
13518,1821,1875,"Dalton, William"
13519,1824,,"Rostaing, Jules"
13520,1877,1957,"Remizov, Aleksei"
13521,1788,1864,"Lee, Eliza Buckminster"
13522,1865,,"Ris Lambers, Cornelis Hille"
13523,,,"Lindley, Augustus F."
13524,1878,1943,"Gilson, Charles"
13525,1824,1893,"Boynton, Edward C. (Edward Carlisle)"
13526,1873,1939,"Häfker, Hermann"
13527,1849,1919,"Findlay, George G. (George Gillanders)"
13528,,,"Chambers, F. W."
13529,1852,1946,"Ingersoll, Ernest"
13530,1876,1957,"Hofmann, Josef"
13531,1837,1899,"Marryat, Florence"
13532,1826,1908,"McCarty, Louis Philippe"
13533,1810,1891,"Macgeorge, Andrew"
13534,,,Argentina. Ministerio de Agricultura
13535,,,"Williams, Leslie, Mrs."
13536,1884,1951,"Micheaux, Oscar"
13537,,,"Oliver, Margaret Scott"
13538,1874,,"O'Reilly, Elizabeth Boyle"
13539,1827,1891,"Hément, Félix"
13540,1878,,"Kishpaugh, Robert A."
13541,1842,1921,"Bowditch, Charles P. (Charles Pickering)"
13542,1848,1906,"Stewart, George"
13543,1845,1910,"Gore, J. Ellard (John Ellard)"
13544,,,"Wildridge, T. Tindall (Thomas Tindall)"
13545,1837,1900,"Koehler, S. R. (Sylvester Rosa)"
13546,1761,1840,"Daunou, P. C. F. (Pierre Claude François)"
13547,,,"Westbrook, Richard B. (Richard Brodhead)"
13548,,,"Morgan, Louisa"
13549,1843,1895,"Riley, Charles V. (Charles Valentine)"
13550,1863,1939,"Everett, Marshall"
13551,1843,1898,"Bardsley, Charles Wareing Endell"
13552,1814,1889,"Surtees, Scott F. (Scott Frederick)"
13553,1805,1866,"Howard, Frank"
13554,1860,1932,"Bacon, Benjamin Wisner"
13555,,,"Bray, Reginald Arthur"
13556,1866,,"Stearns, Wallace N. (Wallace Nelson)"
13557,1783,1855,"Gaal, György"
13558,1874,1949,"Thorndike, Edward L. (Edward Lee)"
13559,1874,1942,"Alexander, Archibald"
13560,1815,1871,"Cantero, J. G. (Justo Germán)"
13561,,,"Stark, James Henry"
13562,1842,1919,"Berczik, Árpád"
13563,,,"Adam, Paul"
13564,1659,1715,"Ancillon, Charles"
13565,1839,1908,"Willoughby, Howard"
13566,1866,1945,"Taggart, Marion Ames"
13567,,,Baldwin Locomotive Works
13568,1883,1964,"Price, Lucien"
13569,1784,1838,"Abrantès, Laure Junot, duchesse d'"
13570,1853,1918,"Denny, Emily Inez"
13571,,,"Whymper, Frederick"
13572,1843,1887,"Veley, Margaret"
13573,1812,1890,"Brown, George William"
13574,1874,1913,"Hamilton, A. (Angus)"
13575,,,"Schilperoort, Tom"
13576,1881,,"Scholl, Ernest E. (Ernest Emmett)"
13577,1877,,"Sanborn, Charles Emerson"
13578,,,"Newby, C. J., Mrs."
13579,,,"Schalck de la Faverie, A. (Alfred)"
13580,1747,,"Desloges, Pierre"
13581,1812,1884,"Vrailas-Armenes, Petros"
13582,,,"Reynolds, John, of Vermont"
13583,,,"Offen, Benjamin"
13584,1847,1925,"Gray, Andrew"
13585,1852,1920,"Lyman, William Denison"
13586,1865,1936,"Lytton, Henry A."
13587,1922,,"Martin, Edwin Perry"
13588,1857,,"Cromwell, John Howard"
13589,1909,1990,"Bartlett, Paul Alexander"
13590,1844,1926,"Goolrick, John T. (John Tackett)"
13591,1885,1968,"Townsend, John Wilson"
13592,1877,1953,"Gerould, Gordon Hall"
13593,,,"Great Britain. Court to investigate loss of steamship ""Titanic"""
13594,,,"Rothschild, Max"
13595,1881,1963,"Howard-Bury, Charles"
13596,1886,1924,"Mallory, George Herbert Leigh"
13597,1875,1930,"Wollaston, A. F. R. (Alexander Frederick Richmond)"
13598,,,"Scott, Eva"
13599,,,"Fiech, Saint, Bishop of Sletty, active 6th century"
13600,1839,1919,"Hoffmann, Professor"
13601,1672,1769,"Hoyle, Edmond"
13602,1851,1908,"Stoerk, Felix"
13603,1821,1858,"Hodson, W. S. R. (William Stephen Raikes)"
13604,1815,1875,"Féré, Octave"
13605,1883,1964,"Tompa, László"
13606,1825,1909,"Lea, Henry Charles"
13607,,,"Thorpe, Fred"
13608,1860,1928,"Lichnowsky, Karl Max, Fürst von"
13609,1798,1886,"Roe, A. S. (Azel Stevens)"
13610,,,"Hume-Griffith, A."
13611,1886,,"Longstreth, Thomas Morris"
13612,1789,1855,"Swainson, William"
13613,,,"Rede, Geraldine"
13614,1872,1951,"Teague, Violet"
13615,,,"Coolidge, Asenath Carver"
13616,1801,1877,"Devrient, Eduard"
13617,1868,1940,"McKeever, William A. (William Arch)"
13618,1890,1974,"Bonner, Mary Graham"
13619,1790,1876,"Crowe, Catherine"
13620,,,Queensland
13621,1818,1907,"Bartlett, W. C. (William Chauncey)"
13622,1858,1928,"Ayscough, John"
13623,1828,1908,"Russell, Thomas O’Neill"
13624,1858,,"O'Donoghue, Power, Mrs."
13625,1848,1933,"Bowker, R. R. (Richard Rogers)"
13626,1869,1931,"Hjortø, Knud"
13627,1838,1916,"Mach, Ernst"
13628,,,"Webb, James Morris"
13629,1862,1883,"Ravnkilde, Adda"
13630,1868,1946,"Leuba, James H. (James Henry)"
13631,,,"Ben Ibrahim, Sliman"
13632,1861,1929,"Dinet, Etienne"
13633,1840,1930,"Clodd, Edward"
13634,,,"Harner, Michael J."
13635,1839,1930,"Küster, Ernst Georg Ferdinand"
13636,1759,1828,"Smith, James Edward"
13637,,,"Butler, Maude Mary"
13638,,,"Davies, R. Rice"
13639,1843,,"Maurice, C. Edmund (Charles Edmund)"
13640,1867,,"Leahy, William Augustine"
13641,1853,1939,"Shutter, Marion D. (Marion Daniel)"
13642,,1935,"Hirtzler, Victor"
13643,1843,1907,"Blass, Friedrich"
13644,1828,1906,"Klaczko, Julian"
13645,1830,1895,Villamaria
13646,1876,,"Bouton, S. Miles (Stephen Miles)"
13647,1846,1927,"Conrad, M. G. (Michael Georg)"
13648,1833,,"Tefft, Lyman Beecher"
13649,,,"Chalmers, Patrick"
13650,1840,1906,"Stratton, Stephen S. (Stephen Samuel)"
13651,1808,1855,"Nerval, Gérard de"
13652,,1615,"Lizárraga, Reginaldo de"
13653,1865,1931,"Millais, John Guille"
13654,1844,,"Maile, John Levi"
13655,1889,1919,"Barbellion, W. N. P."
13656,1868,,"Haffner-Ginger, Bertha"
13657,1881,1965,"Lamszus, Wilhelm"
13658,,,"Simpson, W. T. (Wilfrid Tord)"
13659,,,"Papantoniou, Ch."
13660,1829,1901,"Riaño, Juan F. (Juan Facundo)"
13661,1833,1891,"McGilchrist, John"
13662,1887,1970,"Bateman, H. M. (Henry Mayo)"
13663,1840,,"Bussigny, H. L. de (Henry L. de)"
13664,1874,,"Kemp, Matthew Stanley"
13665,1894,1948,"Clements, Colin"
13666,1831,1919,"Kerr, W. A. (William Alexander)"
13667,1893,1944,"Nichols, Robert"
13668,1793,1875,"Head, Francis Bond, Sir"
13669,1855,1923,"La Chapelle-Roobol, Suze"
13670,,,"Cook, Samuel"
13671,1871,1927,"Nesbit, Wilbur D. (Wilbur Dick)"
13672,1841,1926,"Plummer, Alfred"
13673,1828,1893,"Lamon, Ward Hill"
13674,,,Philo
13675,,,"Nelson, Ernesto"
13676,1863,1943,"Paul, Adolf"
13677,1820,1883,"Dozy, Reinhart Pieter Anne"
13678,1866,1943,"Waugh, Arthur"
13679,,,"Turner, Lucien M. (Lucien McShan)"
13680,1864,,"Johnston, B. (Bertha)"
13681,,,"Simson, Walter"
13682,1891,1966,"Gumbel, Emil Julius"
13683,1858,1922,"Lindsey, William"
13684,1824,1904,"Bateman, Frederick, Sir"
13685,1830,1884,"Bright, Henry Arthur"
13686,,,"Webb, W. E. (William Edward)"
13687,,,"Longmans, Green, and Co."
13688,1862,1941,"Schlaf, Johannes"
13689,1826,1887,"Rau, Charles"
13690,,,"Hoover, Cynthia A. (Cynthia Adams)"
13691,,,"Woodbury, Walter E."
13692,,,"Hug, Lina"
13693,1840,1931,"Wolff, Henry W. (Henry William)"
13694,1850,1920,"Endrődi, Sándor"
